,AAPL,AMZN,COST,MSFT,NFLX,NVDA,TSLA,risk_free
2018-08-16,53.33000183105469,94.32599639892578,223.19000244140625,107.63999938964844,322.44000244140625,64.36000061035156,22.36333274841309,1.021196115110689
2018-08-23,53.872501373291016,95.1449966430664,229.50999450683597,107.55999755859376,339.1700134277344,66.70999908447266,21.34000015258789,1.0217751760412945
2018-08-30,56.25749969482422,100.11900329589844,230.8300018310547,111.9499969482422,370.9800109863281,69.45249938964844,20.209999084472656,1.0223545653236794
2018-09-06,55.775001525878906,97.91549682617188,236.67999267578125,108.73999786376952,346.4599914550781,68.18000030517578,18.729999542236328,1.022934283144033
2018-09-13,56.602500915527344,99.49349975585938,241.2700042724609,112.91000366210938,368.1499938964844,67.83499908447266,19.297332763671875,1.0235143296886493
2018-09-20,55.00749969482422,97.21499633789062,233.9199981689453,113.56999969482422,365.3599853515625,66.56999969482422,19.8886661529541,1.0240947051439295
2018-09-27,56.23749923706055,100.64900207519533,234.0,114.41000366210938,380.7099914550781,66.8499984741211,20.501333236694336,1.0246754096963795
2018-10-04,56.997501373291016,95.47100067138672,231.67999267578125,112.79000091552734,363.6499938964844,69.82250213623047,18.788667678833008,1.025256443532611
2018-10-11,53.61249923706055,85.96800231933594,221.82000732421875,105.91000366210938,321.1000061035156,58.782501220703125,16.815332412719727,1.0258378068393417
2018-10-18,54.005001068115234,88.53600311279297,228.5800018310547,108.5,346.7099914550781,59.88249969482422,17.5939998626709,1.0264194998033953
2018-10-25,54.95000076293945,89.1084976196289,226.3999938964844,108.3000030517578,312.8699951171875,51.959999084472656,20.99066734313965,1.0270015226117015
2018-11-01,55.55500030517578,83.27649688720703,229.6000061035156,105.91999816894533,317.3800048828125,54.52750015258789,22.95199966430664,1.0275838754512954
2018-11-08,52.122501373291016,87.74549865722656,238.6999969482422,111.75,317.9200134277344,51.497501373291016,23.426666259765625,1.0281665585093185
2018-11-15,47.852500915527344,80.97200012207031,229.94000244140625,107.27999877929688,290.0599975585937,50.59749984741211,23.22933387756348,1.0287495719730189
2018-11-22,44.19499969482422,75.83650207519531,218.57000732421875,103.11000061035156,262.1300048828125,36.1775016784668,22.54599952697754,1.0293329160297502
2018-11-29,44.88750076293945,83.67849731445312,231.0,110.19000244140624,288.75,39.34000015258789,22.744667053222656,1.0299165908669723
2018-12-06,43.68000030517578,84.95950317382812,233.1999969482422,109.19000244140624,282.8800048828125,39.5724983215332,24.20400047302246,1.0305005966722518
2018-12-13,42.73749923706055,82.91899871826172,226.50999450683597,109.4499969482422,276.0199890136719,37.22249984741211,25.119333267211918,1.0310849336332617
2018-12-20,39.20750045776367,73.04149627685547,197.1300048828125,101.51000213623048,260.5799865722656,33.775001525878906,21.025333404541016,1.0316696019377805
2018-12-27,39.03749847412109,73.08200073242188,201.0800018310547,101.18000030517578,255.57000732421875,32.79249954223633,21.07533264160156,1.0322546017736944
2019-01-03,35.54750061035156,75.01399993896484,200.4199981689453,97.4000015258789,271.20001220703125,31.997499465942383,20.02400016784668,1.0328399333289953
2019-01-10,38.45000076293945,82.81099700927734,210.63999938964844,103.5999984741211,324.6600036621094,36.307498931884766,22.99799919128418,1.0334255967917823
2019-01-17,38.96500015258789,84.66100311279297,211.4600067138672,106.12000274658205,353.19000244140625,37.93000030517578,23.15399932861328,1.0340115923502602
2019-01-24,38.17499923706055,82.74649810791016,210.30999755859372,106.1999969482422,326.6700134277344,39.459999084472656,19.43400001525879,1.0345979201927418
2019-01-31,41.61000061035156,85.9365005493164,214.6300048828125,104.43000030517578,339.5,35.9375,20.468000411987305,1.0351845805076456
2019-02-07,42.73500061035156,80.71849822998047,209.0500030517578,105.2699966430664,344.7099914550781,36.85499954223633,20.500667572021484,1.0357715734834976
2019-02-14,42.70000076293945,81.13249969482422,213.83999633789065,106.9000015258789,359.07000732421875,38.63249969482422,20.251333236694336,1.0363588993089305
2019-02-21,42.76499938964844,80.97200012207031,215.22999572753903,109.41000366210938,356.9700012207031,38.942501068115234,19.415332794189453,1.0369465581726838
2019-02-28,43.28749847412109,81.99150085449219,218.7400054931641,112.02999877929688,358.1000061035156,38.56499862670898,21.32533264160156,1.0375345502636042
2019-03-07,43.125,81.29750061035156,216.7899932861328,110.38999938964844,352.6000061035156,37.31499862670898,18.439332962036133,1.0381228757706455
2019-03-14,45.932498931884766,84.31099700927734,233.83999633789065,114.58999633789062,358.82000732421875,41.38999938964844,19.33066749572754,1.0387115348828686
2019-03-21,48.772499084472656,90.96299743652344,239.5399932861328,120.22000122070312,377.8699951171875,45.98500061035156,18.26799964904785,1.0393005277894416
2019-03-28,47.18000030517578,88.6709976196289,241.22000122070312,116.93000030517578,354.6099853515625,44.3125,18.57466697692871,1.0398898546796398
2019-04-04,48.92250061035156,90.94300079345705,244.3999938964844,119.36000061035156,367.8800048828125,47.06499862670898,17.851999282836914,1.0404795157428461
2019-04-11,49.73749923706055,92.20349884033205,241.2400054931641,120.33000183105467,367.6499938964844,47.8849983215332,17.89466667175293,1.0410695111685502
2019-04-18,50.96500015258789,93.08450317382812,245.80999755859372,123.37000274658205,360.3500061035156,46.57500076293945,18.21733283996582,1.0416598411463498
2019-04-25,51.31999969482422,95.1125030517578,245.6000061035156,129.14999389648438,368.3299865722656,46.727500915527344,16.5086669921875,1.0422505058659501
2019-05-02,52.28749847412109,95.04100036621094,242.69000244140625,126.20999908447266,379.05999755859375,45.79750061035156,16.273332595825195,1.0428415055171636
2019-05-09,50.18000030517578,94.99349975585938,243.47000122070312,125.5,362.75,42.54750061035156,16.131999969482422,1.0434328402899105
2019-05-16,47.52000045776367,95.37850189208984,247.44000244140625,128.92999267578125,359.3099975585937,40.04750061035156,15.222000122070312,1.0440245103742185
2019-05-23,44.915000915527344,90.77400207519533,248.52999877929688,126.18000030517578,352.2099914550781,36.83000183105469,13.03266716003418,1.0446165159602239
2019-05-30,44.57500076293945,90.81600189208984,241.5399932861328,125.7300033569336,351.8500061035156,34.77750015258789,12.54800033569336,1.0452088572381697
2019-06-06,46.30500030517578,87.71800231933594,251.2100067138672,127.81999969482422,357.1300048828125,35.94499969482422,13.729999542236328,1.0458015343984073
2019-06-13,48.53749847412109,93.51499938964844,259.7099914550781,132.32000732421875,343.42999267578125,37.06499862670898,14.260666847229004,1.0463945476313963
2019-06-20,49.8650016784668,95.90950012207033,267.3500061035156,136.9499969482422,365.2099914550781,38.525001525878906,14.641332626342772,1.0469878971277038
2019-06-27,49.935001373291016,95.21399688720705,265.5799865722656,134.14999389648438,370.0199890136719,40.807498931884766,14.855999946594238,1.047581583078005
2019-07-04,51.102500915527344,96.9499969482422,269.1400146484375,137.4600067138672,381.7200012207031,40.6875,15.65999984741211,1.048175605673084
2019-07-11,50.4375,100.05349731445312,276.5400085449219,138.39999389648438,379.5,41.56999969482422,15.90666675567627,1.0487699651038318
2019-07-18,51.415000915527344,98.8949966430664,282.9100036621094,136.4199981689453,325.2099914550781,42.54499816894531,16.902666091918945,1.0493646615612489
2019-07-25,51.755001068115234,98.69100189208984,279.79998779296875,140.19000244140625,326.4599914550781,43.345001220703125,15.254667282104492,1.049959695236443
2019-08-01,52.10749816894531,92.76599884033205,274.57000732421875,138.05999755859375,319.5,41.22999954223633,15.59000015258789,1.050555066320631
2019-08-08,50.85749816894531,91.64450073242188,274.79998779296875,138.88999938964844,315.8999938964844,39.56499862670898,15.886667251586914,1.0511507750051379
2019-08-15,50.435001373291016,88.80599975585938,271.5199890136719,133.67999267578125,295.760009765625,37.192501068115234,14.37600040435791,1.051746821481397
2019-08-22,53.1150016784668,90.23300170898438,279.9200134277344,137.77999877929688,296.92999267578125,42.869998931884766,14.8100004196167,1.0523432059409505
2019-08-29,52.25249862670898,89.31999969482422,296.57000732421875,138.1199951171875,296.7799987792969,41.75,14.780667304992676,1.0529399285754493
2019-09-05,53.31999969482422,92.03600311279295,296.9700012207031,140.0500030517578,293.25,44.935001373291016,15.305333137512209,1.0535369895766524
2019-09-12,55.772499084472656,92.17749786376952,289.8900146484375,137.52000427246094,288.8599853515625,46.067501068115234,16.391332626342773,1.054134389136428
2019-09-19,55.2400016784668,91.0749969482422,287.8299865722656,141.07000732421875,286.6000061035156,44.23500061035156,16.440000534057617,1.0547321274467532
2019-09-26,54.97249984741211,86.99199676513672,288.260009765625,139.5399932861328,263.3099975585937,44.334999084472656,16.17066764831543,1.0553302046997133
2019-10-03,55.20500183105469,86.22100067138672,289.0,136.27999877929688,268.1499938964844,45.32749938964844,15.535332679748535,1.0559286210875032
2019-10-10,57.522499084472656,86.01300048828125,297.1400146484375,139.10000610351562,280.4800109863281,45.75749969482422,16.31599998474121,1.0565273768024266
2019-10-17,58.81999969482422,89.3740005493164,302.3999938964844,139.69000244140625,293.3500061035156,48.5724983215332,17.46466636657715,1.057126472036896
2019-10-24,60.89500045776367,89.03900146484375,297.04998779296875,139.94000244140625,271.5,49.21500015258789,19.978666305541992,1.0577259069834333
2019-10-31,62.18999862670898,88.83300018310547,297.1099853515625,143.3699951171875,287.4100036621094,50.255001068115234,20.994667053222656,1.0583256818346696
2019-11-07,64.85749816894531,89.41000366210938,305.2099914550781,144.25999450683594,289.57000732421875,52.084999084472656,22.369333267211918,1.0589257967833448
2019-11-14,65.66000366210938,87.7300033569336,304.5899963378906,148.05999755859375,289.6199951171875,52.4474983215332,23.290000915527344,1.0595262520223085
2019-11-21,65.50250244140625,86.7354965209961,300.2699890136719,149.47999572753906,311.69000244140625,52.54499816894531,23.655332565307617,1.0601270477445197
2019-11-28,66.95999908447266,90.92549896240234,300.760009765625,152.32000732421875,315.92999267578125,54.560001373291016,22.086000442504883,1.0607281841430465
2019-12-05,66.3949966430664,87.02400207519531,293.1000061035156,149.92999267578125,302.8599853515625,52.185001373291016,22.024667739868164,1.0613296614110665
2019-12-12,67.86499786376953,88.0165023803711,297.3399963378906,153.24000549316406,298.44000244140625,56.01750183105469,23.978666305541992,1.061931479741867
2019-12-19,70.00499725341797,89.61399841308594,293.7099914550781,155.7100067138672,332.2200012207031,58.8650016784668,26.93600082397461,1.0625336393288454
2019-12-26,72.47750091552734,93.4384994506836,295.7300109863281,158.6699981689453,332.6300048828125,59.79750061035156,28.72933387756348,1.0631361403655075
2020-01-02,75.0875015258789,94.90049743652344,291.489990234375,160.6199951171875,329.8099975585937,59.977500915527344,28.68400001525879,1.0637389830454698
2020-01-09,77.40750122070312,95.05249786376952,299.4200134277344,162.08999633789062,335.6600036621094,60.755001068115234,32.089332580566406,1.0643421675624587
2020-01-16,78.80999755859375,93.89700317382812,303.0299987792969,166.1699981689453,338.6199951171875,62.23249816894531,34.232666015625,1.0649456941103095
2020-01-23,79.80750274658203,94.22899627685548,312.8800048828125,166.72000122070312,349.6000061035156,63.21500015258789,38.14666748046875,1.0655495628829685
2020-01-30,80.96749877929688,93.53399658203124,309.4700012207031,172.77999877929688,347.739990234375,61.45249938964844,42.72066879272461,1.0661537740744913
2020-02-06,81.30249786376953,102.5114974975586,310.6099853515625,183.6300048828125,366.9500122070313,63.5625,49.93066787719727,1.0667583278790436
2020-02-13,81.21749877929688,107.49349975585938,318.20001220703125,183.7100067138672,381.3999938964844,67.69499969482422,53.59999847412109,1.0673632244909015
2020-02-20,80.07499694824219,107.65499877929688,324.0799865722656,184.4199981689453,386.0,77.17500305175781,59.96066665649414,1.0679684641044511
2020-02-27,68.37999725341797,94.21499633789062,293.1300048828125,158.17999267578125,371.7099914550781,63.150001525878906,45.26666641235352,1.0685740469141887
2020-03-05,73.2300033569336,96.20149993896484,315.760009765625,166.27000427246094,372.7799987792969,68.32250213623047,48.30266571044922,1.0691799731147207
2020-03-12,62.057498931884766,83.83049774169922,279.8500061035156,139.05999755859375,315.25,54.07749938964844,37.369998931884766,1.0697862429007643
2020-03-19,61.19499969482422,94.04650115966795,305.2200012207031,142.7100067138672,332.0299987792969,53.24250030517578,28.50933265686035,1.0703928564671468
2020-03-26,64.61000061035156,97.77449798583984,292.29998779296875,156.11000061035156,362.989990234375,64.30999755859375,35.21066665649414,1.070999814008806
2020-04-02,61.23249816894531,95.94149780273438,291.4800109863281,155.25999450683594,370.0799865722656,63.86750030517578,30.29800033569336,1.0716071157207903
2020-04-09,66.99749755859375,102.13800048828124,300.010009765625,165.13999938964844,370.7200012207031,65.73750305175781,38.20000076293945,1.0722147617982585
2020-04-16,71.67250061035156,120.40950012207033,321.5599975585937,177.0399932861328,439.1700134277344,73.67500305175781,49.68066787719727,1.0728227524364806
2020-04-23,68.75749969482422,119.97250366210938,305.3999938964844,171.4199981689453,426.7000122070313,71.00250244140625,47.04199981689453,1.0734310878308366
2020-04-30,73.44999694824219,123.6999969482422,303.0,179.2100067138672,419.8500061035156,73.06999969482422,52.12533187866211,1.074039768176818
2020-05-07,75.93499755859375,118.38050079345705,305.0,183.6000061035156,436.5299987792969,76.21749877929688,52.00266647338867,1.0746487936700264
2020-05-14,77.38500213623047,119.44249725341795,299.739990234375,180.52999877929688,441.9500122070313,80.30500030517578,53.55533218383789,1.0752581645061752
2020-05-21,79.2125015258789,122.33699798583984,301.9700012207031,183.42999267578125,436.25,87.75250244140625,55.17333221435547,1.075867880881088
2020-05-28,79.5625,120.05500030517578,309.5599975585937,181.3999938964844,413.4400024414063,84.87000274658203,53.72066879272461,1.0764779429906997
2020-06-04,80.58000183105469,123.02999877929688,310.75,182.9199981689453,414.3299865722656,87.66500091552734,57.62533187866211,1.0770883510310563
2020-06-11,83.9749984741211,127.89800262451172,300.8299865722656,186.2700042724609,425.55999755859375,87.9625015258789,64.85600280761719,1.0776991051983154
2020-06-18,87.93250274658203,132.69900512695312,299.57000732421875,196.32000732421875,449.8699951171875,92.18000030517578,66.9306640625,1.078310205688745
2020-06-25,91.20999908447266,137.72900390625,300.5299987792969,200.33999633789065,465.9100036621094,94.9000015258789,65.73200225830078,1.078921652698725
2020-07-02,91.02749633789062,144.51499938964844,305.739990234375,206.25999450683597,476.8900146484375,96.12249755859376,80.57733154296875,1.0795334464247466
2020-07-09,95.75250244140624,159.13150024414062,325.5400085449219,214.32000732421875,507.760009765625,105.08999633789062,92.9520034790039,1.080145587063412
2020-07-16,96.52249908447266,149.9949951171875,326.2699890136719,203.9199981689453,527.3900146484375,101.34750366210938,100.04266357421876,1.0807580748114356
2020-07-23,92.84500122070312,149.32749938964844,326.1099853515625,202.5399932861328,477.5799865722656,101.29750061035156,100.87133026123048,1.0813709098656425
2020-07-30,96.19000244140624,152.593994140625,324.82000732421875,203.8999938964844,485.7999877929688,106.13999938964844,99.16600036621094,1.0819840924229702
2020-08-06,113.90249633789062,161.25,343.3099975585937,216.3500061035156,509.0799865722656,113.3550033569336,99.30533599853516,1.0825976226804674
2020-08-13,115.01000213623048,158.05099487304688,335.70001220703125,208.6999969482422,481.3299865722656,114.43000030517578,108.06666564941406,1.0832115008352945
2020-08-20,118.2750015258789,164.86849975585938,340.8699951171875,214.5800018310547,497.8999938964844,121.41000366210938,133.45533752441406,1.083825727084724
2020-08-27,125.01000213623048,170.0,346.3599853515625,226.5800018310547,526.27001953125,126.28250122070312,149.25,1.0844403016261401
2020-09-03,120.87999725341795,168.39999389648438,348.29998779296875,217.3000030517578,525.75,130.15499877929688,135.6666717529297,1.0850552246570389
2020-09-10,113.48999786376952,158.7554931640625,339.5299987792969,205.3699951171875,480.6700134277344,123.11750030517578,123.77999877929688,1.0856704963750283
2020-09-17,110.33999633789062,150.43649291992188,338.8800048828125,202.91000366210935,470.2000122070313,124.63500213623048,141.14332580566406,1.0862861169778288
2020-09-24,108.22000122070312,150.989501953125,347.0,203.19000244140625,473.0799865722656,123.4800033569336,129.26333618164062,1.0869020866632726
2020-10-01,116.79000091552734,161.06300354003906,358.4599914550781,212.4600067138672,527.510009765625,136.14500427246094,149.3866729736328,1.0875184056293041
2020-10-08,114.97000122070312,159.52749633789062,365.0899963378906,210.5800018310547,531.7899780273438,138.3874969482422,141.97332763671875,1.0881350740739801
2020-10-15,120.70999908447266,166.9324951171875,376.5799865722656,219.66000366210935,541.9400024414062,139.6999969482422,149.6266632080078,1.0887520921954696
2020-10-22,115.75,158.82000732421875,375.75,214.88999938964844,485.2300109863281,133.61000061035156,141.92999267578125,1.0893694601920538
2020-10-29,115.31999969482422,160.55050659179688,364.8599853515625,204.72000122070312,504.2099914550781,130.24000549316406,136.94332885742188,1.0899871782621269
2020-11-05,119.02999877929688,166.10000610351562,385.2300109863281,223.2899932861328,513.760009765625,141.60000610351562,146.02999877929688,1.0906052466041947
2020-11-12,119.20999908447266,155.51400756835938,375.7099914550781,215.44000244140625,486.7699890136719,134.5675048828125,137.25332641601562,1.0912236654168765
2020-11-19,118.63999938964844,155.8509979248047,383.5400085449219,212.4199981689453,484.6700134277344,134.40249633789062,166.42333984375,1.0918424348989038
2020-11-26,116.02999877929688,159.2534942626953,387.75,213.8699951171875,485.0,132.34750366210938,191.3333282470703,1.0924615552491204
2020-12-03,122.94000244140624,159.3365020751953,374.0499877929688,214.2400054931641,497.5199890136719,133.9600067138672,197.7933349609375,1.0930810266664837
2020-12-10,123.23999786376952,155.07449340820312,372.7900085449219,210.5200042724609,501.0899963378906,129.72250366210938,209.02333068847656,1.093700849350063
2020-12-17,128.6999969482422,161.8040008544922,370.2900085449219,219.4199981689453,532.9000244140625,133.41250610351562,218.63333129882807,1.0943210234990415
2020-12-24,131.97000122070312,158.63450622558594,364.5799865722656,222.75,513.969970703125,129.9375,220.58999633789065,1.0949415493127144
2020-12-31,132.69000244140625,162.84649658203125,376.7799987792969,222.4199981689453,540.72998046875,130.5500030517578,235.22332763671875,1.0955624269904904
2021-01-07,130.9199981689453,158.10800170898438,367.9200134277344,218.2899932861328,508.8900146484375,133.44000244140625,272.0133361816406,1.0961836567318912
2021-01-14,128.91000366210938,156.37350463867188,362.3500061035156,213.0200042724609,500.8599853515625,132.00250244140625,281.6666564941406,1.0968052387365514
2021-01-21,136.8699951171875,165.34950256347656,362.7999877929688,224.97000122070312,579.8400268554688,138.6750030517578,281.663330078125,1.0974271732042193
2021-01-28,137.08999633789062,161.88099670410156,357.0599975585937,238.92999267578125,538.5999755859375,130.50999450683594,278.4766540527344,1.0980494603347561
2021-02-04,137.38999938964844,166.5500030517578,355.8500061035156,242.00999450683597,552.1599731445312,136.6425018310547,283.3299865722656,1.0986721003281363
2021-02-11,135.1300048828125,163.10650634765625,352.20001220703125,244.4900054931641,557.5900268554688,152.50750732421875,270.5533447265625,1.099295093384448
2021-02-18,129.7100067138672,166.4114990234375,356.9200134277344,243.7899932861328,548.219970703125,148.2899932861328,262.4599914550781,1.0999184397038928
2021-02-25,120.98999786376952,152.85800170898438,333.8999938964844,228.9900054931641,546.7000122070312,133.0749969482422,227.4066619873047,1.1005421394867854
2021-03-04,120.12999725341795,148.8784942626953,319.0400085449219,226.72999572753903,511.2900085449219,123.70249938964844,207.14666748046875,1.1011661929335543
2021-03-11,121.95999908447266,155.67950439453125,328.6499938964844,237.1300048828125,523.0599975585938,129.93499755859375,233.1999969482422,1.101790600244742
2021-03-18,120.52999877929688,151.39950561523438,322.9800109863281,230.72000122070312,504.7900085449219,127.2249984741211,217.72000122070312,1.1024153616210042
2021-03-25,120.58999633789062,152.31300354003906,346.3399963378906,232.33999633789065,502.8599853515625,125.35250091552734,213.4633331298828,1.1030404772631108
2021-04-01,123.0,158.0500030517578,354.94000244140625,242.3500061035156,539.4199829101562,138.11749267578125,220.5833282470703,1.1036659473719455
2021-04-08,130.36000061035156,164.96499633789062,361.2200012207031,253.25,554.5800170898438,143.1699981689453,227.93333435058597,1.1042917721485053
2021-04-15,134.5,168.95449829101562,368.7999877929688,259.5,549.219970703125,161.37249755859375,246.2833404541016,1.1049179517939018
2021-04-22,131.94000244140625,165.45199584960938,371.260009765625,257.1700134277344,508.7799987792969,148.50250244140625,239.89666748046875,1.1055444865093609
2021-04-29,133.47999572753906,173.5655059814453,373.5400085449219,252.50999450683597,509.0,153.24749755859375,225.6666717529297,1.1061713764962215
2021-05-06,129.74000549316406,165.31849670410156,382.760009765625,249.72999572753903,499.5499877929688,145.22999572753906,221.17999267578125,1.106798621955938
2021-05-13,124.97000122070312,158.07350158691406,379.5299987792969,243.02999877929688,486.6600036621094,136.65249633789062,190.56333923339844,1.107426223090078
2021-05-20,127.30999755859376,162.38400268554688,383.5799865722656,246.47999572753903,501.6700134277344,146.125,195.5933380126953,1.1080541801003239
2021-05-27,125.27999877929688,161.5054931640625,387.5,249.30999755859372,503.8599853515625,154.8800048828125,210.2833404541016,1.1086824931884722
2021-06-03,123.54000091552734,159.35049438476562,383.8699951171875,245.7100067138672,489.4299926757813,169.69749450683594,190.94667053222656,1.1093111625564342
2021-06-10,126.11000061035156,167.4824981689453,383.010009765625,257.239990234375,487.2699890136719,174.25,203.3733367919922,1.1099401884062354
2021-06-17,131.7899932861328,174.46200561523438,384.75,260.8999938964844,498.3399963378906,186.57249450683597,205.5333404541016,1.1105695709400158
2021-06-24,133.41000366210938,172.45399475097656,392.0700073242188,266.69000244140625,518.0599975585938,192.05499267578125,226.60667419433597,1.1111993103600304
2021-07-01,137.27000427246094,171.64849853515625,394.5299987792969,271.6000061035156,533.5399780273438,202.1199951171875,225.97332763671875,1.1118294068686483
2021-07-08,143.24000549316406,186.57049560546875,407.1499938964844,277.4200134277344,530.760009765625,199.02749633789065,217.60333251953125,1.1124598606683538
2021-07-15,148.47999572753906,181.55999755859372,411.8200073242188,281.0299987792969,542.9500122070312,189.6625061035156,216.86666870117188,1.113090671961746
2021-07-22,146.8000030517578,181.9015045166016,417.5400085449219,286.1400146484375,511.7699890136719,195.94000244140625,216.4199981689453,1.1137218409515386
2021-07-29,145.63999938964844,179.99600219726562,425.2799987792969,286.5,514.25,196.6199951171875,225.7833404541016,1.1143533678405606
2021-08-05,147.05999755859375,168.79949951171875,443.1900024414063,289.5199890136719,524.8900146484375,206.3699951171875,238.2100067138672,1.1149852528317559
2021-08-12,148.88999938964844,165.1750030517578,445.3599853515625,289.8099975585937,510.7200012207031,199.0500030517578,240.75,1.115617496128183
2021-08-19,146.6999969482422,159.3874969482422,454.260009765625,296.7699890136719,543.7100219726562,197.97999572753903,224.4900054931641,1.1162500979330165
